kandidat_id,disability_type,skills,functional_profile
K036,Gangguan Bicara (Tunawicara),"PostgreSQL, FastAPI, Spring Boot, Docker, Django",Tunawicara yang berkomunikasi menggunakan text-to-speech dan teks tertulis. Latar belakang D3 Teknik Informatika dengan keahlian mendalam dalam Django dan PostgreSQL untuk bidang pengembangan backend dan arsitektur sistem. Lebih efektif dalam lingkungan kerja yang tidak mensyaratkan presentasi verbal tatap muka secara intensif.
K037,Gangguan Daksa Tangan,"Adobe Illustrator, Tipografi, CorelDRAW, Adobe Photoshop",Gangguan motorik pada tangan yang teratasi dengan penggunaan voice recognition (Dragon NaturallySpeaking) dan mouse trackball. Lulusan S1 Psikologi yang berpengalaman di bidang desain grafis. Sangat produktif menggunakan Canva dan CorelDRAW dan membutuhkan workstation dengan setup ergonomis yang mendukung.
K038,Acquired Brain Injury (ABI),"Notulensi, Administrasi Perkantoran, Google Workspace, Manajemen Jadwal","Acquired Brain Injury akibat stroke yang telah menjalani rehabilitasi intensif selama 18 bulan. Latar belakang D3 Administrasi Bisnis, kini mampu kembali bekerja di bidang administrasi perkantoran menggunakan Microsoft Office dan Google Workspace. Membutuhkan lingkungan kerja dengan tempo yang fleksibel, tugas yang dipecah menjadi langkah-langkah kecil, dan tidak ada tekanan multitasking berlebihan."
K039,Gangguan Daksa Kaki,"Akuntansi, Pajak, Rekonsiliasi Bank","Gangguan daksa kaki (amputasi di bawah lutut) yang diatasi dengan penggunaan kaki prostetik berteknologi modern. Latar belakang S1 Akuntansi, menguasai jurnal keuangan digital untuk bidang akuntansi dan keuangan. Mampu bekerja di kantor dengan akses aksesibel maupun dari rumah tanpa perbedaan produktivitas."
K040,Gangguan Spektrum Autisme,"Tipografi, Motion Graphics, Desain Visual, Canva, Branding, CorelDRAW","Autisme spektrum level 1 dengan keunggulan dalam pemikiran sistematis dan konsistensi kerja di bidang desain antarmuka pengguna. Lulusan D3 Akuntansi, sangat produktif menggunakan Figma dan Adobe XD dalam tugas-tugas yang membutuhkan presisi tinggi. Membutuhkan lingkungan kerja yang tidak terlalu padat secara sosial dan memiliki struktur yang jelas."
K041,Acquired Brain Injury (ABI),"SEO, Digital Marketing, TikTok Ads, Google Ads","Penyandang ABI pasca operasi tumor otak yang mengalami pemulihan signifikan. Lulusan S1 Ilmu Administrasi Negara, kompeten dalam Google Ads dan Meta Ads untuk bidang pemasaran digital dengan adaptasi penggunaan reminder dan checklist digital. Sangat cocok untuk posisi yang memiliki struktur kerja jelas dan tidak memerlukan respons instan dalam situasi darurat."
K042,Gangguan Daksa Kaki,"Facebook Ads, Email Marketing, Content Creation, TikTok Ads",Pengguna kursi roda akibat cedera tulang belakang yang tetap aktif berkarir di bidang pemasaran digital. Lulusan S1 Manajemen yang sangat terampil dalam platform email marketing. Memerlukan meja kerja adjustable height dan jalur aksesibel di seluruh area kantor untuk mobilitas optimal.
K043,Gangguan Pendengaran / Tuli (Tunarungu),"SEO, Digital Marketing, Google Ads, Facebook Ads, Content Creation, Copywriting",Penyandang tunarungu dengan kemampuan membaca gerak bibir yang sangat baik dan menggunakan alat bantu dengar untuk situasi tertentu. Lulusan D3 Sekretaris yang berpengalaman di bidang pemasaran digital. Sangat produktif dalam lingkungan kerja yang tidak bergantung pada komunikasi verbal intensif dan mendukung penggunaan Google Ads dan Meta Ads.
K044,Acquired Brain Injury (ABI),"Microsoft Teams, E-Learning, Kurikulum","Mengalami cedera otak akibat kecelakaan lalu lintas yang memengaruhi memori jangka pendek, namun kemampuan teknis di bidang pendidikan dan pelatihan tetap terjaga. Lulusan S1 Ilmu Administrasi Negara, terampil dalam Microsoft Teams dan Zoom. Bekerja menggunakan alat bantu seperti reminder digital, catatan terstruktur, dan aplikasi manajemen tugas untuk mengkompensasi keterbatasan memori."
K045,Gangguan Spektrum Autisme,"Inventory, Microsoft Excel, Manajemen Gudang, ERP, Perencanaan Distribusi","Individu dengan autisme fungsional tinggi (Asperger) yang memiliki kemampuan analitis dan pattern recognition yang sangat baik untuk pekerjaan entri data dan pengelolaan database. Latar belakang S1 Bahasa Inggris, menguasai Microsoft Excel dan Google Sheets secara mendalam. Lebih menyukai komunikasi tertulis dan lingkungan kerja yang terstruktur dengan rutinitas yang konsisten."
K046,Gangguan Penglihatan (Tunanetra),"Rekrutmen, HRIS, Payroll","Mengalami gangguan penglihatan total sejak lahir dan telah mengembangkan keahlian profesional di bidang manajemen sumber daya manusia menggunakan JAWS, display braille, dan braille note taker. Lulus dari S1 Marketing dengan dukungan teknologi asistif penuh. Mampu bekerja mandiri dan hanya membutuhkan lingkungan kerja yang kompatibel dengan screen reader."
K047,Gangguan Penglihatan (Tunanetra),"Spring Boot, FastAPI, Kubernetes, Microservices, Django, Go",Penyandang low vision yang menggunakan ZoomText dan pengaturan kontras tinggi pada monitor berukuran besar untuk bekerja di bidang pengembangan backend dan arsitektur sistem. Lulusan S1 Ilmu Komputer dengan keahlian FastAPI dan Redis yang terverifikasi. Membutuhkan monitor minimal 27 inci dan software pembesaran layar yang terinstal di workstation.
K048,Gangguan Mental / Psikososial,"MikroTik, Monitoring Jaringan, Linux, Firewall, VPN, CCNA","Penyandang gangguan psikososial (depresi mayor yang terkontrol) yang kembali aktif bekerja di bidang jaringan komputer dan infrastruktur IT. Latar belakang S1 Teknik Elektro, menguasai CCNA dan VPN. Membutuhkan lingkungan kerja yang suportif dan non-stigmatisasi, dengan fleksibilitas jadwal bila diperlukan untuk keperluan medis."
K049,Gangguan Penglihatan (Tunanetra),"Spring Boot, Redis, PostgreSQL","Mengalami gangguan penglihatan total sejak lahir dan telah mengembangkan keahlian profesional di bidang pengembangan backend dan arsitektur sistem menggunakan JAWS, display braille, dan braille note taker. Lulus dari S1 Teknik Elektro dengan dukungan teknologi asistif penuh. Mampu bekerja mandiri dan hanya membutuhkan lingkungan kerja yang kompatibel dengan screen reader."
K050,Acquired Brain Injury (ABI),"Accurate, Pengetikan Cepat, Google Sheets, Ketelitian Data, Spreadsheet","Acquired Brain Injury akibat stroke yang telah menjalani rehabilitasi intensif selama 18 bulan. Latar belakang S1 Desain Komunikasi Visual, kini mampu kembali bekerja di bidang entri data dan pengelolaan database menggunakan software entri data perusahaan. Membutuhkan lingkungan kerja dengan tempo yang fleksibel, tugas yang dipecah menjadi langkah-langkah kecil, dan tidak ada tekanan multitasking berlebihan."
K051,Gangguan Daksa Tangan,"Design System, Sketch, Canva, User Research, Adobe XD","Penyandang gangguan daksa tangan kanan yang telah mengembangkan adaptasi bekerja menggunakan tangan kiri yang dominan dan perangkat bantu ergonomis. Latar belakang D4 Rekayasa Perangkat Lunak, kompeten dalam Figma dan Prototyping Tools untuk bidang desain antarmuka pengguna. Membutuhkan setup meja kerja yang fleksibel dan mouse yang dapat disesuaikan."
K052,Gangguan Pendengaran / Tuli (Tunarungu),"Katalon, QA Documentation, Cypress, Selenium","Tunarungu yang sangat terampil dalam bidang quality assurance dan pengujian perangkat lunak dengan latar belakang D3 Teknik Informatika. Menggunakan closed caption dan subtitle otomatis dalam rapat video, serta mengandalkan komunikasi tertulis untuk koordinasi harian. Keahlian Jira dan tools bug tracking telah terbukti dalam pengalaman kerja sebelumnya."
K053,Gangguan Pendengaran / Tuli (Tunarungu),"Instagram, Penulisan Konten, WordPress","Gangguan pendengaran total yang diatasi dengan penggunaan BISINDO dan teks digital. Latar belakang S1 Akuntansi, sangat kompeten dalam WordPress dan platform blog untuk bidang pembuatan konten digital. Lebih menyukai komunikasi via Slack, email, atau dokumen tertulis dan dapat berkontribusi penuh dalam tim yang inklusif."
K054,Gangguan Daksa Tangan,"Power BI, Excel, Google Data Studio","Mengalami keterbatasan fungsi pada kedua tangan namun telah beradaptasi menggunakan keyboard ergonomis, software voice-to-text, dan perangkat bantu khusus untuk bekerja di bidang analisis data dan business intelligence. Lulusan S1 Teknik Informatika, terampil dalam R dan Excel. Efektivitas kerja tidak berkurang dengan dukungan teknologi asistif yang tepat."
K055,Gangguan Bicara (Tunawicara),"CRM, Empati, Komunikasi, Penanganan Keluhan","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan D3 Administrasi Bisnis yang berpengalaman di bidang layanan pelanggan menggunakan platform live chat dan helpdesk. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K056,Gangguan Intelektual,"CapCut, YouTube, SEO Writing",Individu dengan gangguan intelektual ringan yang telah berhasil bekerja di beberapa posisi entry-level di bidang pembuatan konten digital. Memiliki ketelitian tinggi pada tugas rutin dan terampil menggunakan CapCut dan platform media sosial untuk pekerjaan dasar. Membutuhkan supervisi berkala dan instruksi bertahap yang mudah dipahami.
K057,Gangguan Daksa Tangan,"Canva, Adobe Photoshop, Branding, Motion Graphics, Adobe Illustrator","Penyandang gangguan daksa pada tangan kiri akibat kecelakaan dan kini bekerja penuh menggunakan satu tangan dengan keyboard adaptif. Latar belakang D3 Akuntansi, ahli dalam Figma dan Prototyping Tools untuk bidang desain antarmuka pengguna. Tidak memerlukan asisten khusus, hanya butuh workstation ergonomis yang dapat disesuaikan."
K058,Gangguan Mental / Psikososial,"Postman, Test Case, Jira, Selenium, QA Documentation, Katalon","Memiliki riwayat gangguan kecemasan (anxiety disorder) yang telah terkelola dengan baik melalui terapi dan pengobatan rutin. Lulusan D3 Teknik Informatika yang berpengalaman di bidang quality assurance dan pengujian perangkat lunak menggunakan Cypress dan Katalon. Bekerja paling optimal dalam lingkungan yang memiliki ekspektasi kerja yang jelas, tidak terlalu banyak perubahan mendadak, dan mendukung keseimbangan kerja-hidup."
K059,Gangguan Intelektual,"SIEM, OWASP, Penetration Testing, Nmap","Gangguan intelektual ringan yang tidak menghalangi kontribusi nyata di bidang keamanan siber. Lulusan D3 Manajemen Informatika dengan fokus pada keterampilan praktis. Membutuhkan panduan kerja yang jelas, umpan balik rutin, dan lingkungan yang tidak berubah-ubah untuk memaksimalkan performa."
K060,Gangguan Bicara (Tunawicara),"Adobe Illustrator, Branding, Desain Visual, Canva, Adobe Photoshop","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang desain antarmuka pengguna. Lulusan S1 Bahasa Inggris yang terampil dalam Figma dan Adobe XD. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K061,Gangguan Penglihatan (Tunanetra),"MikroTik, Server Management, Networking, VPN",Mengalami gangguan penglihatan sejak usia muda dan kini bekerja mandiri di bidang jaringan komputer dan infrastruktur IT menggunakan screen reader dan perangkat braille. Latar belakang pendidikan D3 Manajemen Informatika yang ditempuh secara inklusif. Sangat produktif dalam pekerjaan berbasis teks dan data menggunakan Linux dan Firewall tools.
K062,Gangguan Mental / Psikososial,"Adobe Illustrator, Motion Graphics, Canva, Tipografi, Adobe Photoshop","Memiliki kondisi bipolar tipe II yang telah stabil dengan pengobatan. Lulusan S1 Marketing, sangat produktif dalam periode stabil untuk pekerjaan desain antarmuka pengguna. Terampil dalam Figma dan Adobe XD dan bekerja paling baik dengan kebijakan kerja fleksibel yang mengakomodasi kebutuhan manajemen kondisi kesehatan."
K063,Gangguan Intelektual,"Statistik, NumPy, Power BI, SQL, Excel, Tableau",Individu dengan gangguan intelektual ringan yang telah berhasil bekerja di beberapa posisi entry-level di bidang analisis data dan business intelligence. Memiliki ketelitian tinggi pada tugas rutin dan terampil menggunakan Tableau dan Power BI untuk pekerjaan dasar. Membutuhkan supervisi berkala dan instruksi bertahap yang mudah dipahami.
K064,Gangguan Daksa Kaki,"Design System, User Research, Adobe XD","Penyandang tunadaksa kaki dengan kaki prostetik yang memungkinkan mobilitas mandiri. Latar belakang S2 Ilmu Komputer, terampil dalam Figma dan Prototyping Tools untuk bidang desain antarmuka pengguna. Membutuhkan akses parkir khusus disabilitas dan jalur yang rata atau berslope di gedung kantor."
K065,Gangguan Bicara (Tunawicara),"AWS, Azure, Linux, Docker, CI/CD","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan S1 Matematika (konsentrasi komputasi) yang berpengalaman di bidang pengembangan backend dan arsitektur sistem menggunakan Spring Boot dan Java. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K066,Gangguan Pendengaran / Tuli (Tunarungu),"Bahasa Mandarin, Bahasa Inggris, Proofreading, Penerjemahan, Bahasa Jepang, Lokalisasi","Tunarungu total sejak lahir dan berkomunikasi menggunakan Bahasa Isyarat Indonesia (BISINDO) serta teks tertulis. Lulusan S1 Psikologi yang sangat terampil dalam SDL Trados dan CAT tools untuk pekerjaan penerjemahan dan lokalisasi. Pekerjaan berbasis teks, email, dan platform pesan sangat sesuai; membutuhkan interpreter BISINDO untuk rapat formal jika diperlukan."
