Jenis Disabilitas,Kebutuhan Aksesibilitas,No Job Title,Job Title,No Kualifikasi,Level,Deskripsi Kualifikasi
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,3,Mid level,"S1 semua jurusan, 1+ tahun pengalaman transkripsi, kemampuan transkripsi medis atau legal nilai plus."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,4,Mid level,"2 tahun pengalaman, familiar dengan tanda baca profesional, kemampuan transkripsi verbatim dan clean-version."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,5,Mid level,"Pengalaman 2+ tahun, kemampuan transkripsi multibahasa, familiar dengan tools timestamps dan speaker labeling."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,6,Senior level,"3+ tahun, kemampuan proofreading transkripsi orang lain, pernah mengelola proyek transkripsi volume tinggi."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,7,Senior level,"S1 Bahasa/Sastra, 4+ tahun, kemampuan transkripsi konten spesialis (hukum, medis, teknis), akurasi 99%+."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,8,Lead / Manajerial,"5+ tahun, pengalaman QC transcription, mampu melatih tim transcriptionist, pengelolaan deadline ketat."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,9,Lead / Manajerial,"S2 Linguistik, 6+ tahun, pengalaman membangun tim transkripsi, implementasi standar kualitas transkripsi perusahaan."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,10,Lead / Manajerial,"8+ tahun, pengalaman direktur layanan transkripsi, kemampuan negosiasi kontrak klien, strategi skalabilitas layanan."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,1,Entry level,"Lulusan SMK Desain atau D3 DKV, menguasai Adobe Illustrator & Photoshop, memiliki portofolio dasar."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,2,Entry level,"Lulusan S1 DKV/Seni Rupa, kemampuan desain brand identity, familiar dengan Figma, komunikasi via teks lancar."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,3,Mid level,"S1 DKV, 1-2 tahun pengalaman, mahir motion graphic sederhana, kemampuan bekerja mandiri dari brief tertulis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,4,Mid level,"2 tahun pengalaman desainer, portfolio beragam klien, kemampuan UI/UX dasar, mahir Canva Pro dan Adobe Suite."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,5,Mid level,"Pengalaman 2+ tahun, familiar dengan brief via dokumen tertulis, kemampuan typografi dan layout editorial."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,6,Senior level,"3+ tahun desainer profesional, pernah memimpin visual branding project, kemampuan art direction dari referensi tertulis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,7,Senior level,"S1/S2 DKV, 4+ tahun, portfolio brand besar, kemampuan mereview desain tim, komunikasi proyek via text tools."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,8,Lead / Manajerial,"5+ tahun, pengalaman creative director, mampu menyusun brand guideline, kolaborasi via Slack/email intensif."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,9,Lead / Manajerial,"S2 Desain, 6+ tahun, pengalaman memimpin tim kreatif 5+ orang, rekam jejak kampanye visual berhasil."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,6,Graphic Designer,10,Lead / Manajerial,"8+ tahun industri kreatif, pengalaman kepala desain korporat, kemampuan pitch visual via presentasi tertulis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,1,Entry level,"Lulusan S1 Teknik Informatika/Ilmu Komputer, mampu coding Python/JavaScript, familiar dengan GitHub, komunikasi async."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,2,Entry level,"Bootcamp graduate, portfolio 2-3 project, kemampuan debugging mandiri, aktif di komunitas developer online (forum/text)."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,3,Mid level,"S1 Informatika, 1-2 tahun pengalaman, mahir React/Node.js, terbiasa code review via pull request dan komentar teks."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,4,Mid level,"2 tahun pengalaman dev, familiar dengan Agile/Scrum via tools teks (Jira, Trello), kemampuan unit testing."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,5,Mid level,"Pengalaman 2+ tahun, stack fullstack, kemampuan mendokumentasikan kode dengan baik, kolaborasi async via Git."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,6,Senior level,"3+ tahun, pengalaman arsitektur sistem, kemampuan code review, mentoring junior via komentar tertulis detail."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,7,Senior level,"S1/S2 Informatika, 4+ tahun, pengalaman microservices, familiar DevOps, kemampuan teknis dokumentasi tinggi."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,8,Lead / Manajerial,"5+ tahun, pengalaman tech lead, mampu menyusun roadmap teknis, berkoordinasi dengan stakeholder via dokumen tertulis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,9,Lead / Manajerial,"S2 Computer Science, 6+ tahun, pengalaman engineering manager, rekam jejak deliver produk skala besar."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,7,Software Developer,10,Lead / Manajerial,"8+ tahun, pengalaman CTO atau VP Engineering, kemampuan strategi teknis jangka panjang, budaya kerja inklusif."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,1,Entry level,"Lulusan SMK/D3 Multimedia, mampu editing dasar di Premiere Pro, kemampuan menambah subtitle/caption otomatis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,2,Entry level,"Lulusan S1 Broadcasting/Komunikasi, portofolio 5+ video, menguasai color grading dasar, familiar workflow berbasis teks."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,3,Mid level,"S1 Multimedia, 1-2 tahun pengalaman, mahir After Effects untuk motion graphic, peka terhadap aksesibilitas caption."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,4,Mid level,"2 tahun pengalaman editor profesional, familiar dengan brief tertulis, kemampuan sound design visual (tanpa bergantung audio)."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,5,Mid level,"Pengalaman 2+ tahun, mampu mengelola project multi-platform, menguasai DaVinci Resolve, rekam jejak konten viral."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,6,Senior level,"3+ tahun, pernah memimpin tim post-production, kemampuan storytelling visual kuat, review via notes tertulis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,7,Senior level,"S1/S2 Film/Broadcasting, 4+ tahun, kemampuan supervisi workflow editing, pengalaman konten panjang (dokumenter)."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,8,Lead / Manajerial,"5+ tahun, pengalaman head of post-production, standarisasi workflow aksesibel, manajemen deliverable via project tools."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,9,Lead / Manajerial,"S2 Film, 6+ tahun, rekam jejak produksi konten skala nasional, kemampuan menyusun anggaran produksi tertulis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,8,Video Editor,10,Lead / Manajerial,"8+ tahun industri media, pengalaman executive post-production, strategi distribusi konten multikanal."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,1,Entry level,"Lulusan SMA/SMK, kemampuan menulis artikel rapi, familiar dengan Google Docs, passion di dunia konten digital."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,2,Entry level,"Lulusan D3/S1 semua jurusan, portofolio 5+ artikel, kemampuan riset online, menulis SEO-friendly content dasar."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,3,Mid level,"S1 Bahasa/Komunikasi/Jurnalistik, 1-2 tahun pengalaman, kemampuan content calendar planning, familiar CMS WordPress."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,4,Mid level,"2 tahun pengalaman writer, rekam jejak artikel viral, kemampuan copywriting dan storytelling, terbiasa kerja remote async."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,5,Mid level,"Pengalaman 2+ tahun, kemampuan menulis berbagai format (blog, whitepaper, email blast), familiar dengan SEO tools."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,6,Senior level,"3+ tahun, kemampuan editorial strategy, pernah mengelola content pipeline 10+ artikel/bulan, kemampuan proofreading."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,7,Senior level,"S1/S2 Jurnalistik/Komunikasi, 4+ tahun, pengalaman brand voice development, kemampuan briefing tim penulis via teks."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,8,Lead / Manajerial,"5+ tahun, pengalaman editor-in-chief, mampu menyusun content strategy tahunan, manajemen tim penulis via tools async."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,9,Lead / Manajerial,"S2 Komunikasi, 6+ tahun, rekam jejak pertumbuhan traffic organik, pengalaman publikasi editorial skala besar."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,9,Content Writer,10,Lead / Manajerial,"8+ tahun, pengalaman chief content officer, strategi konten omnichannel, kemampuan brand positioning via konten."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,1,Entry level,"Lulusan SMK Seni/D3 DKV, portofolio ilustrasi digital dasar, menguasai Procreate atau Illustrator, responsif via chat."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,2,Entry level,"Lulusan S1 Seni Rupa/DKV, gaya ilustrasi khas yang teridentifikasi, kemampuan mengikuti art direction via brief tertulis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,3,Mid level,"S1 DKV, 1-2 tahun pengalaman, mahir ilustrasi karakter dan environment, familiar dengan workflow revisi via dokumen."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,4,Mid level,"2 tahun pengalaman ilustrator freelance/studio, rekam jejak proyek buku/editorial, kemampuan menerima feedback tertulis."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,5,Mid level,"Pengalaman 2+ tahun, kemampuan berbagai gaya (flat, editorial, realis), terbiasa deadline ketat, kolaborasi async."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,6,Senior level,"3+ tahun, pengalaman ilustrasi buku anak/komersial, kemampuan art direction visual, komunikasi klien via teks efektif."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,7,Senior level,"S1/S2 Seni Rupa, 4+ tahun, portfolio publikasi nasional/internasional, kemampuan memimpin visual project."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,8,Lead / Manajerial,"5+ tahun, pengalaman art director illustrasi, mampu briefing tim via dokumen terstruktur, rekam jejak IP visual."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,9,Lead / Manajerial,"S2 Seni/Desain, 6+ tahun, pengalaman creative lead studio, kemampuan menyusun visual identity berbasis ilustrasi."
Tunarungu,Subtitle/caption / Chat communication / Visual notification / Bahasa isyarat,10,Illustrator,10,Lead / Manajerial,"8+ tahun, pengalaman kepala studio ilustrasi, kemampuan bisnis seni, strategi monetisasi karya ilustrasi."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,1,Entry level,"Lulusan S1 Statistik/Matematika, kemampuan Excel & SQL dasar, familiar dengan komunikasi via laporan tertulis."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,2,Entry level,"Lulusan D3/S1 semua jurusan, familiar dengan Python pandas, kemampuan visualisasi data dasar, teliti dan sistematis."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,3,Mid level,"S1 Statistik/Informatika, 1-2 tahun pengalaman, mahir SQL & Tableau, terbiasa menyampaikan insight via dashboard."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,4,Mid level,"2 tahun pengalaman analyst, portfolio analisis bisnis, kemampuan data storytelling via visual, familiar R atau Python."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,5,Mid level,"Pengalaman 2+ tahun, kemampuan AB testing, familiar dengan Google Analytics, komunikasi hasil analisis via laporan."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,6,Senior level,"3+ tahun, pengalaman menganalisis dataset besar, kemampuan menyusun laporan eksekutif tertulis, mentoring via dokumen."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,7,Senior level,"S1/S2 Statistik, 4+ tahun, pengalaman predictive modeling, mampu translasi data ke insight bisnis via presentasi tertulis."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,8,Lead / Manajerial,"5+ tahun, pengalaman lead analyst, mampu membangun data pipeline, koordinasi lintas tim via text tools."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,9,Lead / Manajerial,"S2 Data Science, 6+ tahun, rekam jejak implementasi analytics platform, kemampuan menyusun roadmap data strategy."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,11,Data Analyst,10,Lead / Manajerial,"8+ tahun, pengalaman Chief Data Officer, strategi data governance, pengembangan tim analis via dokumentasi terstruktur."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,1,Entry level,"Lulusan S1 DKV/Desain Produk, menguasai Figma dasar, familiar dengan prinsip UX, komunikasi desain via anotasi."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,2,Entry level,"Bootcamp UX graduate, portofolio 2 case study, kemampuan wireframing, terbiasa feedback via komentar Figma."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,3,Mid level,"S1 Desain, 1-2 tahun pengalaman, mahir prototyping interaktif di Figma, pengalaman user research via survei tertulis."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,4,Mid level,"2 tahun pengalaman UX, familiar Agile design sprint, kemampuan membuat design system, kolaborasi via dokumen."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,5,Mid level,"Pengalaman 2+ tahun, kemampuan accessibility design (termasuk untuk disabilitas), familiar usability testing remote."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,6,Senior level,"3+ tahun, pengalaman merancang produk end-to-end, kemampuan UX writing, koordinasi dengan developer via komentar tertulis."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,7,Senior level,"S1/S2 Desain, 4+ tahun, pengalaman design system scale besar, mampu mereview desain tim via Figma comment."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,8,Lead / Manajerial,"5+ tahun, pengalaman head of design, mampu menyusun design strategy, kolaborasi C-level via dokumen tertulis."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,9,Lead / Manajerial,"S2 HCI/Desain, 6+ tahun, pengalaman product design director, rekam jejak meningkatkan conversion/retention produk."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,12,UI/UX Designer,10,Lead / Manajerial,"8+ tahun, pengalaman Chief Design Officer, kemampuan menyusun design culture perusahaan, inklusivitas desain."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,1,Entry level,"Lulusan SMK Akuntansi/D3 Akuntansi, familiar dengan pembukuan manual dan digital, kemampuan komunikasi via email."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,2,Entry level,"Lulusan S1 Akuntansi, kemampuan mengoperasikan software akuntansi (Accurate/Jurnal), teliti dan cermat dalam angka."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,3,Mid level,"S1 Akuntansi, 1-2 tahun pengalaman, mahir rekonsiliasi bank, kemampuan laporan keuangan bulanan via dokumen."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,4,Mid level,"2 tahun pengalaman, familiar dengan pajak dasar PPh/PPN, kemampuan audit internal sederhana, komunikasi via chat."
